dissimilarity,condition,rdm_index,trialno_1,trialno_2
0.16870512440844532,Concrete,0,B3,C3
0.19970138029442058,Concrete,0,B3,D3
0.16990073153690227,Concrete,0,B3,B11
0.16239979943446325,Concrete,0,B3,C11
0.17543239385884465,Concrete,0,B3,D11
0.206307836607858,Concrete,0,B3,B22
0.13877930736579439,Concrete,0,B3,C22
0.17846136976550195,Concrete,0,B3,D22
0.18708960132950206,Concrete,0,B3,B26
0.21982227882860098,Concrete,0,B3,C26
0.16926646610007656,Concrete,0,B3,D26
0.1708007066832564,Concrete,0,B3,B30
0.21083011329410123,Concrete,0,B3,C30
0.1904311092661214,Concrete,0,B3,D30
0.14324350414670864,Concrete,0,B3,B42
0.19792164242524743,Concrete,0,B3,C42
0.17179671110855954,Concrete,0,B3,D42
0.18253521536584863,Concrete,0,B3,B43
0.17385071998642793,Concrete,0,B3,C43
0.172590083143478,Concrete,0,B3,D43
0.1887523059765905,Concrete,0,B3,B44
0.15808307556840945,Concrete,0,B3,C44
0.17341046318187994,Concrete,0,B3,D44
0.1883416184398334,Concrete,0,B3,B51
0.22729879556806082,Concrete,0,B3,C51
0.14281983332148707,Concrete,0,B3,D51
0.168941341572262,Concrete,0,B3,B52
0.19266682040979424,Concrete,0,B3,C52
0.17299327332346753,Concrete,0,B3,D52
0.15702982647244296,Concrete,0,B3,B53
0.18253453610446313,Concrete,0,B3,C53
0.17158058453628758,Concrete,0,B3,D53
0.1606666866965967,Concrete,0,B3,B55
0.17650094667613173,Concrete,0,B3,C55
0.18649699617964607,Concrete,0,B3,D55
0.20629793460642762,Concrete,0,B3,B56
0.16884722161191296,Concrete,0,B3,C56
0.19835576007602576,Concrete,0,B3,D56
0.17121154606708305,Concrete,0,B3,B57
0.18473927070771198,Concrete,0,B3,C57
0.17133201606941895,Concrete,0,B3,D57
0.18484850711515247,Concrete,0,B3,B63
0.17228525826173047,Concrete,0,B3,C63
0.16406909652022308,Concrete,0,B3,D63
0.14972964849649742,Concrete,0,B3,B65
0.1601424605250466,Concrete,0,B3,C65
0.19236609041287217,Concrete,0,B3,D65
0.23711463599363908,Concrete,0,B3,B67
0.1497185825781393,Concrete,0,B3,C67
0.18061650052194844,Concrete,0,B3,D67
0.15934026204871923,Concrete,0,B3,B73
0.16056170278925427,Concrete,0,B3,C73
0.17924061019632861,Concrete,0,B3,D73
0.1506783007521491,Concrete,0,B3,B77
0.17414952577605694,Concrete,0,B3,C77
0.18246754058700973,Concrete,0,B3,D77
0.16355344829896834,Concrete,0,B3,B78
0.1488056077140003,Concrete,0,B3,C78
0.1748222570734189,Concrete,0,B3,D78
0.18906278444400554,Concrete,0,B3,B80
0.25301681851603525,Concrete,0,B3,C80
0.1476032409253882,Concrete,0,B3,D80
0.1575180893812405,Concrete,0,B3,B83
0.17042762145367266,Concrete,0,B3,C83
0.1880409835551338,Concrete,0,B3,D83
0.2055626112717214,Concrete,0,B3,B88
0.2054404174471865,Concrete,0,B3,C88
0.14960217011165053,Concrete,0,B3,D88
0.14555861291174296,Concrete,0,B3,B91
0.20743864368155226,Concrete,0,B3,C91
0.18646287467108266,Concrete,0,B3,D91
0.15264831166390838,Concrete,0,B3,B92
0.21099439436209874,Concrete,0,B3,C92
0.17265168437370634,Concrete,0,B3,D92
0.2801781608997557,Concrete,0,B3,B99
0.18202610774436753,Concrete,0,B3,C99
0.1501012242287402,Concrete,0,B3,D99
0.18734761982385487,Concrete,0,C3,D3
0.17266642677503172,Concrete,0,C3,B11
0.17250274705236288,Concrete,0,C3,C11
0.17437712809147565,Concrete,0,C3,D11
0.1970886821735571,Concrete,0,C3,B22
0.1403105014376618,Concrete,0,C3,C22
0.15968169076961564,Concrete,0,C3,D22
0.18735856278372895,Concrete,0,C3,B26
0.20595963321573948,Concrete,0,C3,C26
0.16267893434213324,Concrete,0,C3,D26
0.16134163326504056,Concrete,0,C3,B30
0.20454852272301752,Concrete,0,C3,C30
0.18261073374496048,Concrete,0,C3,D30
0.14317007564379824,Concrete,0,C3,B42
0.18573310766541826,Concrete,0,C3,C42
0.17250329792493171,Concrete,0,C3,D42
0.16179988501093015,Concrete,0,C3,B43
0.1932927362847369,Concrete,0,C3,C43
