dissimilarity,condition,rdm_index,trialno_1,trialno_2
0.01590660253406892,Abstract,0,B1,C1
0.01694003089844419,Abstract,0,B1,D1
0.017163501775882297,Abstract,0,B1,B2
0.023507010831969204,Abstract,0,B1,C2
0.0195353740704317,Abstract,0,B1,D2
0.017810888527350233,Abstract,0,B1,B4
0.016625986979926344,Abstract,0,B1,C4
0.013109908730857113,Abstract,0,B1,D4
0.01900795426715628,Abstract,0,B1,B5
0.01821234951928002,Abstract,0,B1,C5
0.022409166180136622,Abstract,0,B1,D5
0.02194399609180179,Abstract,0,B1,B6
0.019804463091226583,Abstract,0,B1,C6
0.02221144866326569,Abstract,0,B1,D6
0.019142259692208813,Abstract,0,B1,B7
0.01735864003180753,Abstract,0,B1,C7
0.021043747300635664,Abstract,0,B1,D7
0.017681407145756608,Abstract,0,B1,B9
0.02122169404604702,Abstract,0,B1,C9
0.017024658200479943,Abstract,0,B1,D9
0.01557752457273155,Abstract,0,B1,B14
0.023776687744164277,Abstract,0,B1,C14
0.028683612195065142,Abstract,0,B1,D14
0.020236001088207757,Abstract,0,B1,B16
0.018030711807666827,Abstract,0,B1,C16
0.019233103543037637,Abstract,0,B1,D16
0.017306129844881363,Abstract,0,B1,B17
0.01521229703435892,Abstract,0,B1,C17
0.014698193945843473,Abstract,0,B1,D17
0.016904561943901098,Abstract,0,B1,B27
0.014729561656949974,Abstract,0,B1,C27
0.01451417483242452,Abstract,0,B1,D27
0.01559482522130773,Abstract,0,B1,B28
0.013627910124180374,Abstract,0,B1,C28
0.01725306952612095,Abstract,0,B1,D28
0.021113405734007863,Abstract,0,B1,B29
0.01580913193648171,Abstract,0,B1,C29
0.01947040986159487,Abstract,0,B1,D29
0.014504904561939086,Abstract,0,B1,B31
0.02109563844379116,Abstract,0,B1,C31
0.019334036010579182,Abstract,0,B1,D31
0.02142169714615845,Abstract,0,B1,B33
0.019162766153369405,Abstract,0,B1,C33
0.020661210286618346,Abstract,0,B1,D33
0.01678643729545868,Abstract,0,B1,B36
0.017748251986027377,Abstract,0,B1,C36
0.014939236015506684,Abstract,0,B1,D36
0.01816576450486238,Abstract,0,B1,B38
0.020710055346618524,Abstract,0,B1,C38
0.01873479127241586,Abstract,0,B1,D38
0.021157788009835435,Abstract,0,B1,B40
0.01981048399594,Abstract,0,B1,C40
0.020131853143572288,Abstract,0,B1,D40
0.019781393699874604,Abstract,0,B1,B41
0.018614033045758815,Abstract,0,B1,C41
0.015689414546612636,Abstract,0,B1,D41
0.022122640278768896,Abstract,0,B1,B47
0.018485684900338584,Abstract,0,B1,C47
0.02381820233255446,Abstract,0,B1,D47
0.016133460529366143,Abstract,0,B1,B58
0.021097363083332953,Abstract,0,B1,C58
0.01766295787948209,Abstract,0,B1,D58
0.020257081352842883,Abstract,0,B1,B64
0.017240422698682506,Abstract,0,B1,C64
0.014446976039642057,Abstract,0,B1,D64
0.02194105737561529,Abstract,0,B1,B69
0.026442597354802193,Abstract,0,B1,C69
0.016964371296298353,Abstract,0,B1,D69
0.018868228594395176,Abstract,0,B1,B70
0.01385436637560233,Abstract,0,B1,C70
0.016584998680704365,Abstract,0,B1,D70
0.014979571533398725,Abstract,0,B1,B72
0.04161396539099279,Abstract,0,B1,C72
0.020391361461689392,Abstract,0,B1,D72
0.016723175887016634,Abstract,0,B1,B76
0.014769024269254673,Abstract,0,B1,C76
0.023558672336323916,Abstract,0,B1,D76
0.01693902645842669,Abstract,0,B1,B89
0.01736966056816784,Abstract,0,B1,C89
0.017332246862221783,Abstract,0,B1,D89
0.016765554730650084,Abstract,0,B1,B90
0.019774550889499264,Abstract,0,B1,C90
0.023216282518250263,Abstract,0,B1,D90
0.019493039438237006,Abstract,0,B1,B95
0.031790890410853055,Abstract,0,B1,C95
0.0249431511987365,Abstract,0,B1,D95
0.015791762730122234,Abstract,0,B1,B97
0.017248808565983896,Abstract,0,B1,C97
0.015360437226164963,Abstract,0,B1,D97
0.017810598962529206,Abstract,0,B1,B100
0.018815462909065488,Abstract,0,B1,C100
0.021475485508362292,Abstract,0,B1,D100
0.016466624791214975,Abstract,0,C1,D1
0.017739263337987952,Abstract,0,C1,B2
0.020312714260523643,Abstract,0,C1,C2
0.015884414040857348,Abstract,0,C1,D2
0.01615404019432737,Abstract,0,C1,B4
0.015611563455696956,Abstract,0,C1,C4
0.01622107921361404,Abstract,0,C1,D4
0.017961597218090625,Abstract,0,C1,B5
0.015390063151925178,Abstract,0,C1,C5
0.025098073375091512,Abstract,0,C1,D5
0.026122955898958567,Abstract,0,C1,B6
0.015572687513940168,Abstract,0,C1,C6
0.016015095969257223,Abstract,0,C1,D6
0.013981493296129455,Abstract,0,C1,B7
0.011172095287057402,Abstract,0,C1,C7
0.022420531397540737,Abstract,0,C1,D7
0.01455982800936598,Abstract,0,C1,B9
0.01807417754360223,Abstract,0,C1,C9
0.012063200781925512,Abstract,0,C1,D9
0.017214553481252004,Abstract,0,C1,B14
0.02227810078364244,Abstract,0,C1,C14
0.0337642293567124,Abstract,0,C1,D14
0.017285240743230734,Abstract,0,C1,B16
0.018459758287974776,Abstract,0,C1,C16
0.017719752928715964,Abstract,0,C1,D16
0.013423905654219276,Abstract,0,C1,B17
0.014191258310068004,Abstract,0,C1,C17
0.01552908136424442,Abstract,0,C1,D17
0.018949613522616256,Abstract,0,C1,B27
0.01728003918216625,Abstract,0,C1,C27
0.011756313809903501,Abstract,0,C1,D27
0.015577125060162218,Abstract,0,C1,B28
0.018998908430273267,Abstract,0,C1,C28
0.017074197192182467,Abstract,0,C1,D28
0.016505910222842195,Abstract,0,C1,B29
0.01828020569681035,Abstract,0,C1,C29
0.016050629586005175,Abstract,0,C1,D29
0.016540702712483275,Abstract,0,C1,B31
0.019416199467293165,Abstract,0,C1,C31
0.017632472013043875,Abstract,0,C1,D31
0.016695542297332902,Abstract,0,C1,B33
0.01959445294099571,Abstract,0,C1,C33
0.017900553868624207,Abstract,0,C1,D33
0.01748323928021789,Abstract,0,C1,B36
0.013138062818423842,Abstract,0,C1,C36
0.014402378161777646,Abstract,0,C1,D36
0.018008540113468613,Abstract,0,C1,B38
0.023589462938579546,Abstract,0,C1,C38
0.01820658451827493,Abstract,0,C1,D38
0.021211382446723385,Abstract,0,C1,B40
0.022179401293147407,Abstract,0,C1,C40
0.017815017002320455,Abstract,0,C1,D40
0.019751707816382937,Abstract,0,C1,B41
0.015047171282195772,Abstract,0,C1,C41
0.012447758179553748,Abstract,0,C1,D41
0.02505385993306689,Abstract,0,C1,B47
0.0238135574048982,Abstract,0,C1,C47
0.0208880259289903,Abstract,0,C1,D47
0.01611955040232091,Abstract,0,C1,B58
0.021074870785973764,Abstract,0,C1,C58
0.017580150709058558,Abstract,0,C1,D58
0.022738483835286993,Abstract,0,C1,B64
0.013127982887931273,Abstract,0,C1,C64
0.01643753073457645,Abstract,0,C1,D64
0.021973889460912804,Abstract,0,C1,B69
0.023763988681640574,Abstract,0,C1,C69
0.015298225976307684,Abstract,0,C1,D69
0.014477348775314548,Abstract,0,C1,B70
0.016139498192989106,Abstract,0,C1,C70
0.013764929488372341,Abstract,0,C1,D70
0.015987616579371578,Abstract,0,C1,B72
0.03669944552740963,Abstract,0,C1,C72
0.017459834716929978,Abstract,0,C1,D72
0.014079350014644578,Abstract,0,C1,B76
0.014842782679426013,Abstract,0,C1,C76
0.019579358192353315,Abstract,0,C1,D76
0.015240691789712522,Abstract,0,C1,B89
0.01484470491742321,Abstract,0,C1,C89
0.0126639416336682,Abstract,0,C1,D89
0.015664578299912926,Abstract,0,C1,B90
0.020100775648557532,Abstract,0,C1,C90
0.01719942036327471,Abstract,0,C1,D90
