dissimilarity,condition,rdm_index,trialno_1,trialno_2
0.014355448029142948,Abstract,0,B1,C1
0.013355321650456685,Abstract,0,B1,D1
0.010822462531593378,Abstract,0,B1,B2
0.008538081654823837,Abstract,0,B1,C2
0.008896342297226693,Abstract,0,B1,D2
0.008333320777650708,Abstract,0,B1,B4
0.009125979670637873,Abstract,0,B1,C4
0.00814741990828836,Abstract,0,B1,D4
0.009267029263804297,Abstract,0,B1,B5
0.009889491639505204,Abstract,0,B1,C5
0.008905769353004191,Abstract,0,B1,D5
0.008678448198239633,Abstract,0,B1,B6
0.007527817540644496,Abstract,0,B1,C6
0.011650961829820804,Abstract,0,B1,D6
0.009222088640145535,Abstract,0,B1,B7
0.012804422357015701,Abstract,0,B1,C7
0.00928417814766831,Abstract,0,B1,D7
0.017336042067029243,Abstract,0,B1,B27
0.007990803464447891,Abstract,0,B1,C27
0.009175544210941236,Abstract,0,B1,D27
0.01762087279921306,Abstract,0,B1,B28
0.01378018810122082,Abstract,0,B1,C28
0.011221784201586267,Abstract,0,B1,D28
0.010389805636380214,Abstract,0,B1,B29
0.008805024542800282,Abstract,0,B1,C29
0.008998809821567798,Abstract,0,B1,D29
0.00793405800305384,Abstract,0,B1,B31
0.0073954107044129705,Abstract,0,B1,C31
0.008339473657649326,Abstract,0,B1,D31
0.012178303619557492,Abstract,0,B1,B32
0.013084193532554257,Abstract,0,B1,C32
0.01550483096939413,Abstract,0,B1,D32
0.016953776538073808,Abstract,0,B1,B38
0.008108930131399756,Abstract,0,B1,C38
0.00989161301536554,Abstract,0,B1,D38
0.012076286569543649,Abstract,0,B1,B39
0.016914655607095937,Abstract,0,B1,C39
0.007771132321532757,Abstract,0,B1,D39
0.008115230296187149,Abstract,0,B1,B40
0.013656322407211732,Abstract,0,B1,C40
0.00702312430358653,Abstract,0,B1,D40
0.014626875697886815,Abstract,0,B1,B41
0.015057247736818982,Abstract,0,B1,C41
0.011431958778068189,Abstract,0,B1,D41
0.012387290504109775,Abstract,0,B1,B47
0.008150152047799565,Abstract,0,B1,C47
0.01599658389665447,Abstract,0,B1,D47
0.011169007929928655,Abstract,0,B1,B60
0.009345752411671949,Abstract,0,B1,C60
0.009233037882496466,Abstract,0,B1,D60
0.01378720705088433,Abstract,0,B1,B61
0.012119804651895792,Abstract,0,B1,C61
0.008034110058707756,Abstract,0,B1,D61
0.013057173431572623,Abstract,0,B1,B64
0.011266862630561765,Abstract,0,B1,C64
0.011028560892660858,Abstract,0,B1,D64
0.011566575369239983,Abstract,0,B1,B66
0.008621262640547639,Abstract,0,B1,C66
0.006750718262306125,Abstract,0,B1,D66
0.008976099403593773,Abstract,0,B1,B69
0.008803897221852354,Abstract,0,B1,C69
0.008920053632392877,Abstract,0,B1,D69
0.009281406231291063,Abstract,0,B1,B72
0.009463952763086337,Abstract,0,B1,C72
0.009318461326969013,Abstract,0,B1,D72
0.008273705129852446,Abstract,0,B1,B76
0.008804861530337766,Abstract,0,B1,C76
0.008829379378958524,Abstract,0,B1,D76
0.008264892207940347,Abstract,0,B1,B79
0.010511200971382152,Abstract,0,B1,C79
0.00976688423588193,Abstract,0,B1,D79
0.019441721101116326,Abstract,0,B1,B81
0.01206879035552604,Abstract,0,B1,C81
0.008863849979731366,Abstract,0,B1,D81
0.011859975431969948,Abstract,0,B1,B82
0.01638355303827016,Abstract,0,B1,C82
0.010953182180918394,Abstract,0,B1,D82
0.009231087127416951,Abstract,0,B1,B89
0.018997543188842024,Abstract,0,B1,C89
0.010066027303512588,Abstract,0,B1,D89
0.011012676206591309,Abstract,0,B1,B90
0.008880860248584916,Abstract,0,B1,C90
0.01695110305458698,Abstract,0,B1,D90
0.01081273827795496,Abstract,0,B1,B97
0.009565393455062288,Abstract,0,B1,C97
0.009691478589337627,Abstract,0,B1,D97
0.006620309673476869,Abstract,0,B1,B100
0.011539515094838033,Abstract,0,B1,C100
0.008957207943019928,Abstract,0,B1,D100
0.0075747229487478735,Abstract,0,C1,D1
0.008824481219766795,Abstract,0,C1,B2
0.008831126675780048,Abstract,0,C1,C2
0.009406939394381756,Abstract,0,C1,D2
0.015623322250868477,Abstract,0,C1,B4
0.011000034940657554,Abstract,0,C1,C4
0.008250871337326696,Abstract,0,C1,D4
0.009747796734788153,Abstract,0,C1,B5
0.008641393960582918,Abstract,0,C1,C5
0.008254635910677077,Abstract,0,C1,D5
0.009561417025646416,Abstract,0,C1,B6
0.012238691305418072,Abstract,0,C1,C6
0.008454576087980656,Abstract,0,C1,D6
0.014618442149140475,Abstract,0,C1,B7
0.006685651303304708,Abstract,0,C1,C7
0.012881920622530676,Abstract,0,C1,D7
0.011594251434411864,Abstract,0,C1,B27
0.008801970488366928,Abstract,0,C1,C27
0.01015488117493089,Abstract,0,C1,D27
0.00896509968791482,Abstract,0,C1,B28
0.009928714969303079,Abstract,0,C1,C28
0.007835293114479508,Abstract,0,C1,D28
0.011795541724741197,Abstract,0,C1,B29
0.010771741188972603,Abstract,0,C1,C29
0.010034845605961318,Abstract,0,C1,D29
0.011812712346480448,Abstract,0,C1,B31
0.010704120707021418,Abstract,0,C1,C31
0.011887944553580686,Abstract,0,C1,D31
0.01152474865897594,Abstract,0,C1,B32
0.007346421386690791,Abstract,0,C1,C32
0.007083720630259225,Abstract,0,C1,D32
0.009983814226786092,Abstract,0,C1,B38
0.00871048527999691,Abstract,0,C1,C38
0.009858085651346911,Abstract,0,C1,D38
0.006940987009947351,Abstract,0,C1,B39
0.008801700912987556,Abstract,0,C1,C39
0.010632281921814672,Abstract,0,C1,D39
0.010908415224874337,Abstract,0,C1,B40
0.009120108191008334,Abstract,0,C1,C40
0.012973111966580391,Abstract,0,C1,D40
0.008518128616837118,Abstract,0,C1,B41
0.01084119773418515,Abstract,0,C1,C41
0.005190816686534021,Abstract,0,C1,D41
0.011456039762560852,Abstract,0,C1,B47
0.013034797169061888,Abstract,0,C1,C47
0.013824534663258137,Abstract,0,C1,D47
0.008225676461031143,Abstract,0,C1,B60
0.0077009090206587106,Abstract,0,C1,C60
0.01054490026784953,Abstract,0,C1,D60
0.010093828238043133,Abstract,0,C1,B61
0.005250440129008236,Abstract,0,C1,C61
0.011885492278014232,Abstract,0,C1,D61
0.009472202945107243,Abstract,0,C1,B64
0.00625669411119916,Abstract,0,C1,C64
0.008767210629383512,Abstract,0,C1,D64
0.005877350981016405,Abstract,0,C1,B66
0.011376625016019241,Abstract,0,C1,C66
0.01028964537606936,Abstract,0,C1,D66
0.008618265833836536,Abstract,0,C1,B69
0.009459406289165346,Abstract,0,C1,C69
0.013724801806148993,Abstract,0,C1,D69
0.012636100874119304,Abstract,0,C1,B72
0.010593219311079816,Abstract,0,C1,C72
0.012843191783019433,Abstract,0,C1,D72
0.01103305359788057,Abstract,0,C1,B76
0.012602941918481173,Abstract,0,C1,C76
0.012428825198950558,Abstract,0,C1,D76
0.016160101436263154,Abstract,0,C1,B79
0.008414188727217732,Abstract,0,C1,C79
0.010092762023748114,Abstract,0,C1,D79
0.008305802096703679,Abstract,0,C1,B81
0.007782236957422251,Abstract,0,C1,C81
0.010031500679210402,Abstract,0,C1,D81
0.009718563959328503,Abstract,0,C1,B82
0.008705173828139434,Abstract,0,C1,C82
0.007637495464451978,Abstract,0,C1,D82
0.008147810710191643,Abstract,0,C1,B89
0.010016238660462248,Abstract,0,C1,C89
0.01144010739959117,Abstract,0,C1,D89
0.00888544886465004,Abstract,0,C1,B90
0.010706478034288416,Abstract,0,C1,C90
0.007416203604182807,Abstract,0,C1,D90
0.00966096337873924,Abstract,0,C1,B97
0.009923733933324026,Abstract,0,C1,C97
0.009361904852498017,Abstract,0,C1,D97
0.011139377749839915,Abstract,0,C1,B100
0.009806661164995074,Abstract,0,C1,C100
0.0095367365490323,Abstract,0,C1,D100
0.008278050389760587,Abstract,0,D1,B2
0.005977674838518022,Abstract,0,D1,C2
0.008798521239801549,Abstract,0,D1,D2
0.01449015379762132,Abstract,0,D1,B4
0.011671543838349716,Abstract,0,D1,C4
0.009866347028555308,Abstract,0,D1,D4
0.00968170935484203,Abstract,0,D1,B5
0.008743110268356613,Abstract,0,D1,C5
0.006803458144673969,Abstract,0,D1,D5
0.008744610105552216,Abstract,0,D1,B6
0.011383942420353482,Abstract,0,D1,C6
0.008804225533162457,Abstract,0,D1,D6
0.010987078742083586,Abstract,0,D1,B7
0.007460071242554208,Abstract,0,D1,C7
0.011875745620419815,Abstract,0,D1,D7
0.01183309690408269,Abstract,0,D1,B27
0.006114219381385711,Abstract,0,D1,C27
0.010489685813928772,Abstract,0,D1,D27
0.006315943993264039,Abstract,0,D1,B28
0.006170971823175269,Abstract,0,D1,C28
0.010176689660624195,Abstract,0,D1,D28
0.008689724377995664,Abstract,0,D1,B29
0.009858604691337826,Abstract,0,D1,C29
0.012004799123188864,Abstract,0,D1,D29
0.011131494013741203,Abstract,0,D1,B31
0.007780085410549418,Abstract,0,D1,C31
0.010224825462578604,Abstract,0,D1,D31
