dissimilarity,condition,rdm_index,trialno_1,trialno_2
0.019664699535928556,Concrete,0,B13,C13
0.020382485832568704,Concrete,0,B13,D13
0.015943649323363573,Concrete,0,B13,B15
0.02094785126044342,Concrete,0,B13,C15
0.01762565494476893,Concrete,0,B13,D15
0.014284066085251798,Concrete,0,B13,B18
0.01791182543371426,Concrete,0,B13,C18
0.01962383425764098,Concrete,0,B13,D18
0.018479555586077657,Concrete,0,B13,B19
0.02026833222735867,Concrete,0,B13,C19
0.019597069487738587,Concrete,0,B13,D19
0.01658989841436711,Concrete,0,B13,B21
0.021884754372686676,Concrete,0,B13,C21
0.020295128050865502,Concrete,0,B13,D21
0.02077080486012001,Concrete,0,B13,B26
0.015168268059859371,Concrete,0,B13,C26
0.02175407794207021,Concrete,0,B13,D26
0.019035693346952706,Concrete,0,B13,B30
0.018067643696593392,Concrete,0,B13,C30
0.023109087524108486,Concrete,0,B13,D30
0.015179841193460712,Concrete,0,B13,B42
0.01599953812172898,Concrete,0,B13,C42
0.01914431166857005,Concrete,0,B13,D42
0.02208201658423145,Concrete,0,B13,B43
0.023946498712391785,Concrete,0,B13,C43
0.020150352729799332,Concrete,0,B13,D43
0.015916250250770352,Concrete,0,B13,B44
0.019158329497336923,Concrete,0,B13,C44
0.017422966145498316,Concrete,0,B13,D44
0.017099171727523288,Concrete,0,B13,B51
0.018755015796706485,Concrete,0,B13,C51
0.019677991581252424,Concrete,0,B13,D51
0.021110745173348065,Concrete,0,B13,B52
0.014770483867213354,Concrete,0,B13,C52
0.017525071926404307,Concrete,0,B13,D52
0.016542959518688467,Concrete,0,B13,B53
0.024142369442189556,Concrete,0,B13,C53
0.014818425218217461,Concrete,0,B13,D53
0.021047805805326673,Concrete,0,B13,B54
0.017604100498731127,Concrete,0,B13,C54
0.014340939164102862,Concrete,0,B13,D54
0.02150120164379981,Concrete,0,B13,B55
0.019107844559551466,Concrete,0,B13,C55
0.016357706448241173,Concrete,0,B13,D55
0.023662097987804286,Concrete,0,B13,B56
0.02044557205008105,Concrete,0,B13,C56
0.017348447673858746,Concrete,0,B13,D56
0.016334314297637556,Concrete,0,B13,B57
0.015334433188667708,Concrete,0,B13,C57
0.01998013906462887,Concrete,0,B13,D57
0.016088602507024593,Concrete,0,B13,B63
0.02134345243035853,Concrete,0,B13,C63
0.01526050919495366,Concrete,0,B13,D63
0.028885504949490173,Concrete,0,B13,B65
0.016747273468226354,Concrete,0,B13,C65
0.018602033985585794,Concrete,0,B13,D65
0.01949535379377405,Concrete,0,B13,B67
0.019405414352513056,Concrete,0,B13,C67
0.019152180922949413,Concrete,0,B13,D67
0.01591482881299655,Concrete,0,B13,B68
0.0165769517157595,Concrete,0,B13,C68
0.019063380050087026,Concrete,0,B13,D68
0.017851474661249006,Concrete,0,B13,B73
0.01967375462429015,Concrete,0,B13,C73
0.025806100438729447,Concrete,0,B13,D73
0.01742388802310666,Concrete,0,B13,B77
0.019645887136972025,Concrete,0,B13,C77
0.017932020180833376,Concrete,0,B13,D77
0.017356665532272546,Concrete,0,B13,B78
0.02028732951111484,Concrete,0,B13,C78
0.021633403519236292,Concrete,0,B13,D78
0.017312385643870522,Concrete,0,B13,B80
0.023544989683904675,Concrete,0,B13,C80
0.018454216382015075,Concrete,0,B13,D80
0.01499262796162574,Concrete,0,B13,B83
0.01515308169648329,Concrete,0,B13,C83
0.016229437234651922,Concrete,0,B13,D83
0.017319933156766814,Concrete,0,B13,B88
0.021425223484009773,Concrete,0,B13,C88
