dissimilarity,condition,rdm_index,trialno_1,trialno_2
0.002740097586860388,Abstract,0,B1,C1
0.003619319135384519,Abstract,0,B1,D1
0.0031207557127276905,Abstract,0,B1,B2
0.003664758149753771,Abstract,0,B1,C2
0.002567887984493244,Abstract,0,B1,D2
0.0030877711325313036,Abstract,0,B1,B4
0.0038782294281003225,Abstract,0,B1,C4
0.0031006345291819185,Abstract,0,B1,D4
0.0038144884291682842,Abstract,0,B1,B6
0.0030531239380899608,Abstract,0,B1,C6
0.0031210639451075676,Abstract,0,B1,D6
0.003869961022245344,Abstract,0,B1,B7
0.002874269284364018,Abstract,0,B1,C7
0.0037041705339921874,Abstract,0,B1,D7
0.0031550547512319256,Abstract,0,B1,B14
0.0040328701766643,Abstract,0,B1,C14
0.003586898234036325,Abstract,0,B1,D14
0.0028980811927813576,Abstract,0,B1,B16
0.0030857491380070603,Abstract,0,B1,C16
0.0035382565669786637,Abstract,0,B1,D16
0.003170943883286216,Abstract,0,B1,B17
0.00283845171790675,Abstract,0,B1,C17
0.002344837452043597,Abstract,0,B1,D17
0.003172268982108984,Abstract,0,B1,B27
0.0028745412738827233,Abstract,0,B1,C27
0.0034871270052262964,Abstract,0,B1,D27
0.005393522560757379,Abstract,0,B1,B28
0.0023111894882823403,Abstract,0,B1,C28
0.003150402449606923,Abstract,0,B1,D28
0.003577147969787343,Abstract,0,B1,B29
0.003242023237771933,Abstract,0,B1,C29
0.002437216536074549,Abstract,0,B1,D29
0.002498741714469607,Abstract,0,B1,B31
0.002722436916295361,Abstract,0,B1,C31
0.0037575560853076247,Abstract,0,B1,D31
0.002155592481092374,Abstract,0,B1,B32
0.003070900458658463,Abstract,0,B1,C32
0.0031487461970653853,Abstract,0,B1,D32
0.003768749190162694,Abstract,0,B1,B33
0.002220199821367194,Abstract,0,B1,C33
0.0023281965778153275,Abstract,0,B1,D33
0.0033258745783672516,Abstract,0,B1,B38
0.0029960047684058945,Abstract,0,B1,C38
0.002549809508934693,Abstract,0,B1,D38
0.0023689804932852344,Abstract,0,B1,B39
0.0034912805654343606,Abstract,0,B1,C39
0.0030745777954113303,Abstract,0,B1,D39
