dissimilarity,rdm_index,trialno_1,trialno_2,pattern_index_1,pattern_index_2
0.22068941593170166,0,B2,C2,0,1
0.39335232973098755,0,B2,D2,0,2
0.8968986496329308,0,B2,B14,0,3
0.8863007053732872,0,B2,C14,0,4
0.9253672957420349,0,B2,D14,0,5
0.9130164086818695,0,B2,B16,0,6
0.8297136127948761,0,B2,C16,0,7
0.8685323596000671,0,B2,D16,0,8
1.0462600104510784,0,B2,B17,0,9
1.011014787480235,0,B2,C17,0,10
0.9753310978412628,0,B2,D17,0,11
0.9921846427023411,0,B2,B25,0,12
0.9337471053004265,0,B2,C25,0,13
1.0326636657118797,0,B2,D25,0,14
0.9265077635645866,0,B2,B27,0,15
0.9822111297398806,0,B2,C27,0,16
0.9567771703004837,0,B2,D27,0,17
0.9335095658898354,0,B2,B29,0,18
0.9500030018389225,0,B2,C29,0,19
1.0081011587753892,0,B2,D29,0,20
0.9772084821015596,0,B2,B31,0,21
0.9531860239803791,0,B2,C31,0,22
0.96858124807477,0,B2,D31,0,23
0.977875592187047,0,B2,B32,0,24
0.9314199462532997,0,B2,C32,0,25
0.9239145666360855,0,B2,D32,0,26
0.9274254962801933,0,B2,B33,0,27
0.9289971590042114,0,B2,C33,0,28
1.0448892191052437,0,B2,D33,0,29
1.0412150658667088,0,B2,B38,0,30
0.9401520267128944,0,B2,C38,0,31
0.898618184030056,0,B2,D38,0,32
0.7829858958721161,0,B2,B39,0,33
0.672547459602356,0,B2,C39,0,34
0.8767426535487175,0,B2,D39,0,35
0.9565745778381824,0,B2,B40,0,36
0.8799615129828453,0,B2,C40,0,37
0.9594479948282242,0,B2,D40,0,38
0.980829382315278,0,B2,B41,0,39
0.938493374735117,0,B2,C41,0,40
1.069479689002037,0,B2,D41,0,41
0.933338388800621,0,B2,B58,0,42
0.9231149479746819,0,B2,C58,0,43
1.0380616039037704,0,B2,D58,0,44
0.9247480928897858,0,B2,B64,0,45
0.8669125139713287,0,B2,C64,0,46
0.8035499006509781,0,B2,D64,0,47
0.8033822625875473,0,B2,B66,0,48
0.8372732996940613,0,B2,C66,0,49
0.8367296606302261,0,B2,D66,0,50
0.8899127170443535,0,B2,B69,0,51
0.8920104503631592,0,B2,C69,0,52
0.85299251973629,0,B2,D69,0,53
0.9388558566570282,0,B2,B70,0,54
0.9146441072225571,0,B2,C70,0,55
0.9944805246777833,0,B2,D70,0,56
0.8908178508281708,0,B2,B76,0,57
0.9183121621608734,0,B2,C76,0,58
0.8687089830636978,0,B2,D76,0,59
0.8599124550819397,0,B2,B79,0,60
0.8801772892475128,0,B2,C79,0,61
0.8833963423967361,0,B2,D79,0,62
0.8753333315253258,0,B2,B81,0,63
0.8863280117511749,0,B2,C81,0,64
0.917142927646637,0,B2,D81,0,65
0.9814174156636,0,B2,B82,0,66
0.959548108279705,0,B2,C82,0,67
1.0157223884016275,0,B2,D82,0,68
1.0045771491713822,0,B2,B89,0,69
0.9979767564218491,0,B2,C89,0,70
0.98833167552948,0,B2,D89,0,71
0.9927407796494663,0,B2,B90,0,72
0.9543615356087685,0,B2,C90,0,73
0.921473041176796,0,B2,D90,0,74
0.9447340108454227,0,B2,B93,0,75
0.856620579957962,0,B2,C93,0,76
0.93133744597435,0,B2,D93,0,77
0.4037308096885681,0,C2,D2,1,2
0.8570816367864609,0,C2,B14,1,3
0.850420668721199,0,C2,C14,1,4
0.8548974990844727,0,C2,D14,1,5
0.9706421233713627,0,C2,B16,1,6
0.9326374605298042,0,C2,C16,1,7
0.8337235301733017,0,C2,D16,1,8
1.021396717056632,0,C2,B17,1,9
1.0103168115019798,0,C2,C17,1,10
0.9802947901189327,0,C2,D17,1,11
1.0008322069770657,0,C2,B25,1,12
0.9897355875000358,0,C2,C25,1,13
